time,runtime,loop_dt,nav_mode,receiver_pulse_width,receiver_angle,receiver_sample_age_sec,receiver_is_fresh,battery_percent,battery_seconds_left,battery_time_remaining,battery_plugged_in,imu_temperature,imu_raw_acceleration_x,imu_raw_acceleration_y,imu_raw_acceleration_z,imu_body_acceleration_x,imu_body_acceleration_y,imu_body_acceleration_z,imu_acceleration_x,imu_acceleration_y,imu_acceleration_z,imu_velocity_x,imu_velocity_y,imu_velocity_z,imu_position_x,imu_position_y,imu_position_z,imu_gravity_x,imu_gravity_y,imu_gravity_z,imu_absolute_roll,imu_absolute_pitch,imu_absolute_yaw,imu_relative_roll,imu_relative_pitch,imu_relative_yaw,imu_initial_roll,imu_initial_pitch,imu_initial_yaw,imu_quaternion_w,imu_quaternion_x,imu_quaternion_y,imu_quaternion_z,imu_angular_velocity_x,imu_angular_velocity_y,imu_angular_velocity_z,imu_magnetic_x,imu_magnetic_y,imu_magnetic_z,gps_lat,gps_lon,gps_has_fix,gps_speed_mps,gps_track_deg,ekf_initialized,ekf_east_m,ekf_north_m,ekf_yaw_rad,ekf_roll_rad,ekf_pitch_rad,ekf_vx_body_mps,ekf_vy_body_mps,ekf_yaw_rate_radps,ekf_bias_ax_mps2,ekf_bias_ay_mps2,ekf_bias_gz_radps,ekf_pos_1sigma_m,ekf_yaw_1sigma_rad,ekf_vel_1sigma_mps
153.36078929901123,0.0003879070281982422,0.0003757476806640625,odometry_only,0,0,,False,,,N/A,False,36,-0.5139062499999998,0.07640624999999995,11.036640624999992,-0.056640625000000014,0.01625000000000003,-0.0007812500000000111,-0.0586825273074073,0.005066890279530648,0.0018763964569671636,-1.1024911765631902e-05,9.519361353564621e-07,3.5252580835583805e-07,-2.071292512731061e-09,1.7884389750025086e-10,6.623037743196497e-11,-0.45609375000000024,0.05359375000000005,8.49335937500001,-2.625,-0.1875,348.875,0.0,0.0,0.0,-2.625,-0.1875,348.875,0.99505615234375,-0.00042724609375,0.02301025390625,0.09649658203125,-0.00545415391248228,-0.002181661564992912,0.0,6.75,22.75,-42.875,,,False,,,False,,,,,,,,,,,,,,
153.4829616546631,0.12256026268005371,0.12214922904968262,odometry_only,0,0,,False,,,N/A,False,36,-0.4439062499999998,0.046406249999999954,11.056640624999991,-0.026364704983210585,0.013222407998321088,0.0022463420016789323,-0.0282826307591575,0.007925394767262247,0.0035009583885717535,-0.005322388417772971,0.0007944507371650924,0.0003287724001629328,-0.00032573823449573333,4.85790905077507e-05,2.0101244214590817e-05,-0.45609375000000024,0.05359375000000005,8.49335937500001,-2.625,-0.1875,348.875,0.0,0.0,0.0,-2.625,-0.1875,348.875,0.99505615234375,-0.00042724609375,0.02301025390625,0.09649658203125,-0.002181661564992912,-0.003272492347489368,0.0,5.6875,23.1875,-42.875,,,False,,,False,,,,,,,,,,,,,,
153.60725164413452,0.24685025215148926,0.12427210807800293,odometry_only,0,0,,False,,,N/A,False,36,-0.46390624999999974,0.05640624999999995,11.046640624999991,-0.01434038291232647,0.008971843234195948,0.004464818394446254,-0.015577192226844602,0.006074684352890971,0.005150189193339578,-0.008047664748972236,0.0016643604099252289,0.0008663205738119521,-0.0011565005805689362,0.00020135991281505406,9.435960582712524e-05,-0.45609375000000024,0.05359375000000005,8.49335937500001,-2.625,-0.1875,348.875,0.0,0.0,0.0,-2.625,-0.1875,348.875,0.99505615234375,-0.00042724609375,0.02301025390625,0.09649658203125,0.001090830782496456,0.0,0.001090830782496456,7.1875,22.75,-42.875,,,False,,,False,,,,,,,,,,,,,,
153.7282998561859,0.36789846420288086,0.12103390693664551,odometry_only,0,0,,False,,,N/A,False,36,-0.46390624999999974,-0.0035937500000000518,11.036640624999992,0.006393748250627558,-0.004736818159979863,0.009344069408965283,0.007604801883627532,-0.003371407920763828,0.009023840259848615,-0.008530129524404009,0.0018279544639802808,0.0017240896546891781,-0.002159738185218274,0.0004127041695359252,0.0002511233410891955,-0.45609375000000024,0.05359375000000005,8.49335937500001,-2.625,-0.1875,348.875,0.0,0.0,0.0,-2.625,-0.1875,348.875,0.99505615234375,-0.00042724609375,0.02301025390625,0.09649658203125,0.001090830782496456,0.003272492347489368,0.001090830782496456,7.5,23.5,-41.25,,,False,,,False,,,,,,,,,,,,,,
153.84898209571838,0.48858070373535156,0.12066102027893066,odometry_only,0,0,,False,,,N/A,False,36,-0.49390624999999977,0.06640624999999994,11.07664062499999,-0.001460589648064713,-0.010168040233543422,0.017303040840723566,0.0013120106770486844,-0.010167584833325015,0.017315208150270333,-0.00799217367380042,0.0010111401243515761,0.0033131378818597275,-0.0031565371658448665,0.0005839881943841814,0.0005550218480577533,-0.45609375000000024,0.05359375000000005,8.49335937500001,-2.625,-0.1875,348.875,0.0,0.0,0.0,-2.625,-0.1875,348.875,0.99505615234375,-0.00042724609375,0.02301025390625,0.09649658203125,0.0,0.002181661564992912,-0.001090830782496456,7.1875,22.75,-42.875,,,False,,,False,,,,,,,,,,,,,,
153.97194504737854,0.6115436553955078,0.12294626235961914,odometry_only,0,0,,False,,,N/A,False,36,-0.4439062499999998,0.06640624999999994,11.086640624999992,-0.0005580990602790203,-0.008295404485910013,0.028583860177319086,0.0023527376673276733,-0.008096836342217431,0.02854939823356268,-0.007766890118085582,-0.00011163103449583637,0.006132578846603426,-0.004125296161594462,0.0006392838346623145,0.0011356796315938906,-0.45609375000000024,0.05359375000000005,8.49335937500001,-2.625,-0.1875,348.875,0.0,0.0,0.0,-2.625,-0.1875,348.875,0.99505615234375,-0.00042724609375,0.02301025390625,0.09649658203125,0.002181661564992912,-0.001090830782496456,0.0,8.25,22.375,-41.25,,,False,,,False,,,,,,,,,,,,,,
154.0940282344818,0.7336268424987793,0.12206673622131348,odometry_only,0,0,,False,,,N/A,False,36,-0.43390624999999977,0.05640624999999995,11.046640624999991,-0.0022223420971672486,0.002527614918002347,0.028968195186853483,-0.0013398810234310438,0.0022070752855913576,0.02904853716593955,-0.007705072065695315,-0.00047110298914870613,0.009647974840255072,-0.005069602124951322,0.000603717614486613,0.0020988199737539065,-0.45609375000000024,0.05359375000000005,8.49335937500001,-2.625,-0.1875,348.875,0.0,0.0,0.0,-2.625,-0.1875,348.875,0.99505615234375,-0.00042724609375,0.02301025390625,0.09649658203125,0.002181661564992912,0.002181661564992912,-0.001090830782496456,6.375,22.375,-42.0625,,,False,,,False,,,,,,,,,,,,,,
154.21521925926208,0.8548178672790527,0.12117266654968262,odometry_only,0,0,,False,,,N/A,False,36,-0.42390624999999976,0.036406249999999946,11.066640624999991,0.009194771337114197,0.002762446327129544,0.027107431865758397,0.009722353655726145,0.00462004273989774,0.02666681151700233,-0.007197208785127847,-5.7472941149747147e-05,0.01302356352408378,-0.00597247667913458,0.0005716931370124916,0.0034724053529490905,-0.45609375000000024,0.05359375000000005,8.49335937500001,-2.625,-0.1875,348.875,0.0,0.0,0.0,-2.625,-0.1875,348.875,0.99505615234375,-0.00042724609375,0.02301025390625,0.09649658203125,-0.002181661564992912,-0.003272492347489368,0.0,6.375,22.375,-41.25,,,False,,,False,,,,,,,,,,,,,,
154.33305382728577,0.9726524353027344,0.11781787872314453,odometry_only,0,0,,False,,,N/A,False,36,-0.5139062499999998,0.046406249999999954,11.056640624999991,-0.000256782626217306,-0.0031141301595499745,0.020409432019493044,0.0012793270247349916,-0.0029974505551931653,0.020388410233733483,-0.006549111445047181,3.8112243467575694e-05,0.015795536728843214,-0.006782257824018715,0.0005705526188467348,0.005170107982203838,-0.45609375000000024,0.05359375000000005,8.49335937500001,-2.625,-0.1875,348.875,0.0,0.0,0.0,-2.625,-0.1875,348.875,0.99505615234375,-0.00042724609375,0.02301025390625,0.09649658203125,-0.001090830782496456,0.002181661564992912,0.0,6.75,23.5,-42.0625,,,False,,,False,,,,,,,,,,,,,,
154.4525227546692,1.0921213626861572,0.11944866180419922,odometry_only,0,0,,False,,,N/A,False,36,-0.4439062499999998,0.08640624999999995,11.016640624999992,-0.004088145954648887,-0.0014952050512390253,0.01369316833389413,-0.0030945715212514343,-0.00217992554719864,0.013860843633078537,-0.006657525708025344,-0.0002711030800762952,0.01784105049993471,-0.007571015391452781,0.0005566373970239586,0.007179030648272709,-0.45609375000000024,0.05359375000000005,8.49335937500001,-2.625,-0.1875,348.875,0.0,0.0,0.0,-2.625,-0.1875,348.875,0.99505615234375,-0.00042724609375,0.02301025390625,0.09649658203125,0.003272492347489368,0.0,0.0,6.375,23.1875,-41.5625,,,False,,,False,,,,,,,,,,,,,,
154.57530450820923,1.2149031162261963,0.12276744842529297,odometry_only,0,0,,False,,,N/A,False,36,-0.5239062499999998,0.05640624999999995,11.006640624999992,-0.023838504861033,0.0052264061952846256,0.002888784242178361,-0.024241050201623846,0.0005667994817610841,0.003998116255849605,-0.00833548797304355,-0.00037012276559734563,0.01893729996848139,-0.00849134240836795,0.0005172765665551069,0.00943662277042202,-0.45609375000000024,0.05359375000000005,8.49335937500001,-2.625,-0.1875,348.875,0.0,0.0,0.0,-2.625,-0.1875,348.875,0.99505615234375,-0.00042724609375,0.02301025390625,0.09649658203125,-0.002181661564992912,0.001090830782496456,0.0,5.6875,22.375,-42.5,,,False,,,False,,,,,,,,,,,,,,
154.6971733570099,1.3367719650268555,0.12184953689575195,odometry_only,0,0,,False,,,N/A,False,36,-0.4439062499999998,0.06640624999999994,11.046640624999991,-0.0174678425520836,0.009878486789118351,-0.01142996443521568,-0.01954380307505773,0.006279793993144773,-0.010581023600034638,-0.011003070020449599,4.700435651803223e-05,0.018536237862823095,-0.00966953957623734,0.0004975906523007036,0.011719689385716967,-0.45609375000000024,0.05359375000000005,8.49335937500001,-2.625,-0.1875,348.875,0.0,0.0,0.0,-2.625,-0.1875,348.875,0.99505615234375,-0.00042724609375,0.02301025390625,0.09649658203125,0.001090830782496456,0.002181661564992912,0.002181661564992912,7.1875,22.75,-42.5,,,False,,,False,,,,,,,,,,,,,,
