time,steering angle,acceleration_x,acceleration_y,acceleration_z,roll,pitch,yaw,omega_x,omega_y,omega_z,lat,lon,runtime,loop_dt,receiver_angle,imu_body_acceleration_raw_x,imu_body_acceleration_raw_y,imu_body_acceleration_raw_z,imu_body_acceleration_filtered_x,imu_body_acceleration_filtered_y,imu_body_acceleration_filtered_z,imu_body_acceleration_x,imu_body_acceleration_y,imu_body_acceleration_z,imu_acceleration_raw_x,imu_acceleration_raw_y,imu_acceleration_raw_z,imu_acceleration_x,imu_acceleration_y,imu_acceleration_z,imu_velocity_x,imu_velocity_y,imu_velocity_z,imu_position_x,imu_position_y,imu_position_z,imu_absolute_roll,imu_absolute_pitch,imu_absolute_yaw,imu_relative_roll,imu_relative_pitch,imu_relative_yaw,imu_initial_roll,imu_initial_pitch,imu_initial_yaw,imu_quaternion_w,imu_quaternion_x,imu_quaternion_y,imu_quaternion_z,imu_angular_velocity_raw_x,imu_angular_velocity_raw_y,imu_angular_velocity_raw_z,imu_angular_velocity_filtered_x,imu_angular_velocity_filtered_y,imu_angular_velocity_filtered_z,imu_angular_velocity_x,imu_angular_velocity_y,imu_angular_velocity_z,imu_filter_gyro_enabled,imu_gyro_filter_window_size,imu_filter_linear_acceleration_enabled,imu_linear_acceleration_filter_window_size,imu_low_pass_linear_acceleration_enabled,imu_linear_acceleration_low_pass_cutoff_hz
0.00028657913208,0,-0.07,-0.12,0.03,321.75,0.25,-2.25,0.0,0.0065449846949787,-0.0010908307824964,,,0.00028657913208,0.00028657913208,0,-0.07,-0.12,0.03,-0.07,-0.12,0.03,-0.07,-0.12,0.03,-0.0724893449721977,-0.07287547925173331,0.09815528202461599,-0.0724893449721977,-0.07287547925173331,0.09815528202461599,-1.0386966783590064e-05,-1.044229579693789e-05,1.4064627765841037e-05,-1.4883439628925149e-09,-1.4962720332045463e-09,2.015314409081497e-09,321.75,0.25,-2.25,0.0,0.0,0.0,321.75,0.25,-2.25,-0.9446357117950457,0.32752577631646906,-0.008493422956056025,0.017835347382407985,0.0,0.0065449846949787,-0.0010908307824964,0.0,0.0065449846949787,-0.0010908307824964,0.0,0.0065449846949787,-0.0010908307824964,True,3,True,5,True,2.0
1.01804780960083,0,-0.03,-0.06,-0.02,321.75,0.1875,-2.0625,0.0021816615649929,0.0043633231299858,0.0010908307824964,,,1.01804780960083,1.01776123046875,0,-0.03,-0.06,-0.02,-0.051450372093863904,-0.09217555814079585,0.006812965117329872,-0.051450372093863904,-0.09217555814079585,0.006812965117329872,-0.0320517058973171,-0.058385189505009094,0.02153735813734044,-0.05366602691360783,-0.06628067892113121,0.06258370361296998,-0.06420841022715368,-0.07082431368045625,0.08181101853116997,-0.032679702514006315,-0.036046435697444576,0.04163920067483756,321.75,0.1875,-2.0625,0.0,-0.0625,0.1875,321.75,0.25,-2.25,-0.9446613977190021,0.32754885069078343,-0.007442277818480274,0.016468350603518606,0.0021816615649929,0.0043633231299858,0.0010908307824964,0.00109083078249645,0.005454153912482249,0.0,0.00109083078249645,0.005454153912482249,0.0,True,3,True,5,True,2.0
2.0366225242614746,-1,-0.05,-0.07,0.0,321.75,0.1875,-2.0625,-0.0010908307824964,-0.0010908307824964,-0.0010908307824964,,,2.0366225242614746,1.0185747146606445,-1,-0.05,-0.07,0.0,-0.05010510104654,-0.0839740841344125,0.0035854844493256174,-0.05010510104654,-0.0839740841344125,0.0035854844493256174,-0.05180404337038667,-0.05314220367301539,0.043499968727055985,-0.0521866397482696,-0.06188843343408402,0.05496726384579286,-0.11811783509774873,-0.13609922220321696,0.14167824009986602,-0.12553615416748587,-0.1414299764570866,0.1554594545947508,321.75,0.1875,-2.0625,0.0,-0.0625,0.1875,321.75,0.25,-2.25,-0.9446613977190021,0.32754885069078343,-0.007442277818480274,0.016468350603518606,-0.0010908307824964,-0.0010908307824964,-0.0010908307824964,0.00036361026083216657,0.003272492347489366,-0.00036361026083213334,0.00036361026083216657,0.003272492347489366,-0.00036361026083213334,True,3,True,5,True,2.0
3.0571529865264893,-1,-0.05,-0.08,0.0,321.75,0.1875,-2.0625,-0.0032724923474893,-0.0021816615649929,0.0,,,3.0571529865264893,1.0205304622650146,-1,-0.05,-0.08,0.0,-0.050007602595421266,-0.08260662943576472,0.002578519666320869,-0.050007602595421266,-0.08260662943576472,0.002578519666320869,-0.0520664294814523,-0.060991014549806315,0.04969087507016021,-0.05207834718328824,-0.061441561822024884,0.05332958412810028,-0.17132063275340795,-0.1990302307381464,0.1969383562621866,-0.2732265408641951,-0.3124348842215221,0.3282437304027365,321.75,0.1875,-2.0625,0.0,-0.0625,0.1875,321.75,0.25,-2.25,-0.9446613977190021,0.32754885069078343,-0.007442277818480274,0.016468350603518606,-0.0032724923474893,-0.0021816615649929,0.0,-0.0007272205216642668,0.00036361026083216635,0.0,-0.0007272205216642668,0.00036361026083216635,0.0,True,3,True,5,True,2.0
4.073740482330322,-2,-0.03,-0.1,-0.01,321.75,0.1875,-2.0625,0.0021816615649929,0.0032724923474893,0.0010908307824964,,,4.073740482330322,1.016587495803833,-2,-0.03,-0.1,-0.01,-0.04629093694015386,-0.08575365400504163,0.00018719087134613658,-0.04629093694015386,-0.08575365400504163,0.00018719087134613658,-0.03285275790399616,-0.08359442915068473,0.05415411076799777,-0.048506105475901354,-0.06552463955502162,0.053387773892355155,-0.22244708117621032,-0.26356635709295484,0.2511821221365945,-0.4733762079802505,-0.5475698376168306,0.5560205678796528,321.75,0.1875,-2.0625,0.0,-0.0625,0.1875,321.75,0.25,-2.25,-0.9446613977190021,0.32754885069078343,-0.007442277818480274,0.016468350603518606,0.0021816615649929,0.0032724923474893,0.0010908307824964,-0.0007272205216642668,-1.4456028966473392e-19,0.0,-0.0007272205216642668,-1.4456028966473392e-19,0.0,True,3,True,5,True,2.0
5.092809438705444,-2,-0.55,-0.54,-0.8,314.0625,29.4375,3.5625,-0.1167188937271207,-4.485496177625427,0.6446809924554054,,,5.092809438705444,1.019068956375122,-2,-0.55,-0.54,-0.8,-0.1350675738356095,-0.1638978446287312,-0.15396268197231547,-0.1350675738356095,-0.1638978446287312,-0.15396268197231547,-0.5015746666812864,-0.983471261327869,0.12372199434913428,-0.09819548386995641,-0.23116460413466877,0.07570226653606156,-0.2971965989528378,-0.4147397560602434,0.31695794852549897,-0.7381525793782688,-0.8931901890337782,0.8455075223219066,314.0625,29.4375,3.5625,-7.6875,29.1875,5.8125,321.75,0.25,-2.25,-0.8869919939324505,0.3845125689742105,-0.22208614619110134,-0.12677945681605282,-0.1167188937271207,-4.485496177625427,0.6446809924554054,-0.039269908169872365,-1.4948017822809767,0.21525727441263395,-0.039269908169872365,-1.4948017822809767,0.21525727441263395,True,3,True,5,True,2.0
6.109950542449951,-1,-0.39,-0.17,-0.84,309.0625,31.25,11.0,-0.0719948316447661,3.00414797499524,0.1614429558094754,,,6.109950542449951,1.0171411037445068,-1,-0.39,-0.17,-0.84,-0.20827269398123777,-0.18996091858037084,-0.3172268009478521,-0.20827269398123777,-0.18996091858037084,-0.3172268009478521,-0.38474190891752313,-0.8483529422267846,-0.13737157252378768,-0.1316323370361888,-0.39845829001734234,0.06324102978727925,-0.41408026066667347,-0.734947418810537,0.38762041741561043,-1.099887044408927,-1.477887230038263,1.2038353307258272,309.0625,31.25,11.0,-12.6875,31.0,13.25,321.75,0.25,-2.25,-0.8543525876370979,0.4355272917397076,-0.20235373147366667,-0.1986217548667672,-0.0719948316447661,3.00414797499524,0.1614429558094754,-0.06217735460229797,-0.49269190342756586,0.2690715930157924,-0.06217735460229797,-0.49269190342756586,0.2690715930157924,True,3,True,5,True,2.0
7.126018047332764,-1,-0.01,-0.08,0.01,319.875,0.0625,-1.9375,0.0,-0.0021816615649929,-0.0021816615649929,,,7.126018047332764,1.0160675048828125,-1,-0.01,-0.08,0.01,-0.20616506737539572,-0.19370663865243104,-0.3272175349137039,-0.20616506737539572,-0.19370663865243104,-0.3272175349137039,-0.011780003791074056,-0.054359452208136344,0.05921386211279942,-0.21832108479660378,-0.35181348191911666,-0.1251430776835361,-0.5918684107400974,-1.1161108024582793,0.3561720877390674,-1.610942922707156,-2.4182872841769747,1.5817070281573522,319.875,0.0625,-1.9375,-1.875,-0.1875,0.3125,321.75,0.25,-2.25,-0.9391877380150264,0.34298723939249337,-0.0063121310200822765,0.015694055502640848,0.0,-0.0021816615649929,-0.0021816615649929,-0.06290457512396226,-0.4945099547317266,0.267980762233296,-0.06290457512396226,-0.4945099547317266,0.267980762233296,True,3,True,5,True,2.0
8.13824987411499,-2,0.0,-0.05,0.0,320.0625,0.0,-1.8125,0.0,0.0010908307824964,-0.0010908307824964,,,8.13824987411499,1.0122318267822266,-2,0.0,-0.05,0.0,-0.1967408897882321,-0.18841593332799253,-0.32794296935075035,-0.1967408897882321,-0.18841593332799253,-0.32794296935075035,-0.001212562110753234,-0.03831807723575791,0.03209758012813516,-0.20787038725943444,-0.3485902305494929,-0.1304947740684475,-0.8075706968992424,-1.4705962671368562,0.22678970290227018,-2.319221324905285,-3.727460895380367,1.8767532672999117,320.0625,0.0,-1.8125,-1.6875,-0.25,0.4375,321.75,0.25,-2.25,-0.9397614575330316,0.341464851548074,-0.005401415830236126,0.014865490226451753,0.0,0.0010908307824964,-0.0010908307824964,-0.023998277214922033,1.0010190480709145,0.05272348782066205,-0.023998277214922033,1.0010190480709145,0.05272348782066205,True,3,True,5,True,2.0
9.152281761169434,-2,-0.04,-0.07,0.02,320.1875,0.0,-1.8125,0.0,-0.0043633231299858,0.0010908307824964,,,9.152281761169434,1.0140318870544434,-2,-0.04,-0.07,0.02,-0.19790837970957162,-0.18246686117655617,-0.32243244552608163,-0.19790837970957162,-0.18246686117655617,-0.32243244552608163,-0.04127564677564406,-0.03967887601071482,0.060182287940710476,-0.2087721314086966,-0.34017395210723755,-0.13084511289931688,-1.0188150966153229,-1.819810689074314,0.09428621353001165,-3.2452280412487857,-5.395749682872307,2.0395438760136924,320.1875,0.0,-1.8125,-1.5625,-0.25,0.4375,321.75,0.25,-2.25,-0.9401333787138048,0.34043952786878634,-0.005385196885512205,0.01487137341162973,0.0,-0.0043633231299858,0.0010908307824964,0.0,-0.001818051304160721,-0.0007272205216642865,0.0,-0.001818051304160721,-0.0007272205216642865,True,3,True,5,True,2.0
